ID,Category,Component,Description,Qty,Unit_Price_USD,Total_USD,Supplier,Part_Number,Link_or_Search,Notes
BOM-001,Flight Controller,Matek H743-WING v3,STM32H743 flight controller – ArduPlane compatible – integrated baro OSD BEC,1,45.00,45.00,Matek / GetFPV / RCGroups,MK-H743-WING,Search: Matek H743-WING,H743 preferred over F405 for processing headroom; F405-WING also compatible at lower cost
BOM-002,Vision Computer,Raspberry Pi Zero 2W,ARM Cortex-A53 × 4 – 512MB RAM – CSI-2 camera interface – Wi-Fi,1,15.00,15.00,Raspberry Pi / Adafruit / PiShop,SC0510,raspberrypi.com,Solder 40-pin header. Use Lite OS image (headless).
BOM-003,Camera Module,RPi Camera Module 3 Wide,Sony IMX708 – 102° FOV – 12MP – CSI-2 – 1080p30,1,25.00,25.00,Raspberry Pi / PiHut,SC0872,raspberrypi.com,"NOSE-MOUNTED — this is the nose of the pod. Mount facing forward/downward direction of travel."
BOM-004,GNSS,u-blox M10 GPS Module,Concurrent GNSS GPS+GLO+GAL – 10 Hz – UART – patch antenna,1,30.00,30.00,SparkFun / Matek,GPS-18037 / M10Q-120,sparkfun.com Search: u-blox M10,"Mount inside nose section above camera, patch antenna must face sky"
BOM-005,IMU,ICM-42688-P Breakout,6-axis IMU – 32kHz ODR – SPI – low-noise – ±2000dps gyro,1,8.00,8.00,SparkFun / Adafruit,SEN-21829,sparkfun.com Search: ICM-42688,Often integrated in FC — check if F405/H743 variant includes it. Buy separately only if FC IMU is insufficient.
BOM-006,Barometer,BMP388 Breakout,High-precision barometer – I2C/SPI – ±0.5hPa – 200Hz ODR,1,5.00,5.00,Adafruit / SparkFun,SEN-16832,adafruit.com #3966,Usually integrated in FC. Buy separately if FC lacks baro or for redundancy.
BOM-007,Telemetry,SiK 915MHz Telemetry Radio V3 (pair),Bidirectional MAVLink – 100mW – UART – up to 3km LOS – pair,1,28.00,28.00,RFDesign / Holybro / mRobotics,mRo SiK Telem V3,Search: SiK 915MHz telemetry pair,"Pair = 1 for pod, 1 for GCS laptop. Use 433MHz if 915 is not legal in your country."
BOM-008,RC Receiver,BetaFPV ELRS Lite Receiver,ExpressLRS 2.4GHz – SBUS output – <1ms latency – >1km range,1,12.00,12.00,BetaFPV / GetFPV,ELRS-LITE-RX,betafpv.com,Requires ELRS-compatible TX. Alternatively use FrSky XM+ with FrSky TX.
BOM-009,Servo – Fins,Emax ES9051 Digital 9g Servo × 4,Digital 9g – 2.0 kg·cm – 0.09s/60° – 4.8–6V – metal gear,4,4.50,18.00,Emax / GetFPV / Amazon,ES9051,emaxmodel.com,4 pieces needed — one per canard fin. Digital essential for hold torque and precision.
BOM-010,Servo – Latch,Emax ES9051 Digital 9g Servo,Same as fins — used for carrier aircraft wing latch release,1,4.50,4.50,Emax / GetFPV / Amazon,ES9051,emaxmodel.com,Mounted on CARRIER AIRCRAFT wing hardpoint. Pulls retention pin to release pod.
BOM-011,Battery,CNHL 3S 1000mAh 30C LiPo,3S – 11.1V – 1000mAh – 30C – XT30 – ~70g,1,16.00,16.00,CNHL / Tattu / GNB,CNHL-3S-1000-30C,Search: 3S 1000mAh 30C LiPo XT30,Mounted in mid-body for CG. Adjust position fore/aft to tune CG to 28% body length from nose.
BOM-012,BEC 1,Pololu D24V22F5 5V/2.2A Step-Down,5V – 2.2A – 98% efficient – 4–38V input – compact,1,7.95,7.95,Pololu,#2858,pololu.com/product/2858,Powers FC + RPi Zero + GPS + sensors. Separate from servo BEC to isolate noise.
BOM-013,BEC 2,Pololu D24V22F5 5V/2.2A Step-Down,5V – 2.2A – 98% efficient – 4–38V input – compact,1,7.95,7.95,Pololu,#2858,pololu.com/product/2858,"Powers all 5 servos. Separate BEC mandatory — servo transients destroy FC/Pi if shared."
BOM-014,Connector,XT30 Male/Female Pair × 3,XT30 gold plated battery connectors,1,3.00,3.00,Amass / Amazon,XT30 pair,Search: XT30 connector pair,For battery leads and power distribution.
BOM-015,Structure,Carbon Fibre Tube ø80mm OD × 320mm,CF tube – 80mm OD 76mm ID – 320mm length – plain weave,1,14.00,14.00,Hobbyking / DragonPlate / AliExpress,Search: CF tube 80mm OD,Search: carbon fibre tube 80mm,Cut to 320mm. Sand ends smooth. Main pod fuselage.
BOM-016,Structure,PETG Filament 1kg – Black,1.75mm PETG – 1kg spool – for all 3D printed structural parts,0.5,22.00,11.00,Prusament / Hatchbox / eSUN,PETG-175-BLK,prusa3d.com,Use PETG not PLA — better impact resistance and heat tolerance. 0.5kg estimate for all parts.
BOM-017,Hardware,M3 Hex Bolts Assortment,M3 × 6/8/10/12/16mm bolts + nuts + washers stainless,1,6.00,6.00,Amazon / Local hardware,,Search: M3 bolt assortment stainless,For servo mounts fin mounts and avionics tray.
BOM-018,Hardware,M4 × 20mm Bolts + Nyloc Nuts × 4,M4 bolts for wing saddle mounting,1,2.00,2.00,Amazon / Local hardware,,Search: M4 bolts nyloc,Wing mount attachment bolts.
BOM-019,Hardware,1.5mm Music Wire (pushrods) – 500mm,Steel music wire for fin servo pushrods,1,3.00,3.00,Hobbyking / Local hobby shop,,Search: 1.5mm music wire 500mm,Cut to length. Z-bend each end with pliers.
BOM-020,Hardware,Du-Bro Micro E/Z Connectors × 8,Pushrod end connectors for servo horns and fin horns,1,4.00,4.00,Du-Bro / Hobbyking,Du-Bro 845,Search: dubro EZ connector micro,2 per fin linkage × 4 fins = 8 total.
BOM-021,Hardware,Vibration Dampening Foam Sheet 3mm,Neoprene foam for IMU isolation mount,1,3.00,3.00,Amazon,,Search: vibration dampening foam 3mm,Cut to size under FC/IMU mount to isolate vibration.
